Datum zaúčtování;Datum dokladu;Materiálový doklad;Položka;Závod;Sklad;Materiál;Text materiálu;Skupina materiálu;Druh pohybu;Text druhu pohybu;S/H;Množství;ZMJ;Cena za MJ;Hodnota pohybu;Měna;Výrobní zakázka;Dodavatel;Odběratel;Šarže;Tržba bez DPH;COGS;Režie;Uživatel;Nákladové středisko
05.01.2026;05.01.2026;4900000581;1;2000;0001;1000202;Kolík 46x32;Spojovací materiál;101;Příjem zboží na objednávku;S;233,840;KS;2,81;657,09;CZK;;Plastika Nitra a.s.;;SN6084;;;;NOVAKJ;4010 Nákup
05.01.2026;05.01.2026;4900000621;1;1000;0001;1000209;Matice M37;Spojovací materiál;101;Příjem zboží na objednávku;S;913,690;KS;14,07;12855,62;CZK;;ABB s.r.o.;;SN6801;;;;KUCERAL;4010 Nákup
05.01.2026;05.01.2026;4900000638;1;1000;0001;1000213;Plech Al 20 mm;Hliník;101;Příjem zboží na objednávku;S;1020,310;KG;115,47;117815,20;CZK;;Rubena a.s.;;SN8594;;;;PROCHAZ;4010 Nákup
05.01.2026;05.01.2026;4900000641;1;2000;0001;1000214;Deska PP 15 mm;Plasty;101;Příjem zboží na objednávku;S;1544,110;KG;65,47;101092,88;CZK;;Hilti ČR s.r.o.;;SN5069;;;;PROCHAZ;4010 Nákup
05.01.2026;05.01.2026;4900000643;1;2000;0001;1000215;Motor 73 kW;Elektro;101;Příjem zboží na objednávku;S;936,000;KS;175,44;164211,84;CZK;;Elektro Cabel CZ;;SN3707;;;;VESELAM;4010 Nákup
05.01.2026;05.01.2026;4900000658;1;1000;0001;1000216;Podložka 26;Spojovací materiál;101;Příjem zboží na objednávku;S;562,810;KS;12,61;7097,03;CZK;;Ferona a.s.;;SN2255;;;;KUCERAL;4010 Nákup
05.01.2026;05.01.2026;4900000664;1;1000;0001;1000218;Manžeta 40x54;Těsnění a guma;101;Příjem zboží na objednávku;S;116,290;KS;53,05;6169,18;CZK;;Killich s.r.o.;;SN5631;;;;NOVAKJ;4010 Nákup
05.01.2026;05.01.2026;4900000665;1;1000;0001;1000218;Manžeta 40x54;Těsnění a guma;101;Příjem zboží na objednávku;S;319,600;KS;53,05;16954,78;CZK;;ESSA Czech;;SN3180;;;;CERNAT;4010 Nákup
05.01.2026;05.01.2026;4900000676;1;1000;0001;1000220;Plech Al 60 mm;Hliník;101;Příjem zboží na objednávku;S;946,690;KG;117,61;111340,21;CZK;;Bossard CZ s.r.o.;;SN6007;;;;DVORAKP;4010 Nákup
05.01.2026;05.01.2026;4900000679;1;2000;0001;1000221;Deska PE 117 mm;Plasty;101;Příjem zboží na objednávku;S;833,400;KG;58,15;48462,21;CZK;;Hennlich s.r.o.;;SN3290;;;;NOVAKJ;4010 Nákup
05.01.2026;05.01.2026;4900000687;1;1000;0001;1000223;Šroub M2x48;Spojovací materiál;101;Příjem zboží na objednávku;S;436,770;KS;10,18;4446,32;CZK;;Hilti ČR s.r.o.;;SN9652;;;;VESELAM;4010 Nákup
05.01.2026;05.01.2026;4900000710;1;1000;0001;1000227;Profil Al 118x69;Hliník;101;Příjem zboží na objednávku;S;833,930;KG;60,93;50811,35;CZK;;Hilti ČR s.r.o.;;SN6706;;;;SVOBODM;4010 Nákup
05.01.2026;05.01.2026;4900000731;1;1000;0001;1000230;Kolík 14x73;Spojovací materiál;101;Příjem zboží na objednávku;S;80,340;KS;9,78;785,73;CZK;;Rubena a.s.;;SN8869;;;;HORAKT;4010 Nákup
05.01.2026;05.01.2026;4900000816;1;2000;0001;1000245;Ředidlo S51;Nátěry a chemie;101;Příjem zboží na objednávku;S;1016,920;L;96,37;98000,58;CZK;;ABB s.r.o.;;SN3882;;;;SVOBODM;4010 Nákup
05.01.2026;05.01.2026;4900000872;1;2000;0001;1000255;Trubka Al 111 mm;Hliník;101;Příjem zboží na objednávku;S;1717,310;KG;114,47;196580,48;CZK;;ESSA Czech;;SN5667;;;;PROCHAZ;4010 Nákup
05.01.2026;05.01.2026;4900000899;1;1000;0001;1000260;Těsnění ploché 87 mm;Těsnění a guma;101;Příjem zboží na objednávku;S;847,340;KS;22,51;19073,62;CZK;;Plastika Nitra a.s.;;SN7629;;;;SVOBODM;4010 Nákup
05.01.2026;05.01.2026;4900000907;1;2000;0001;1000262;Plech Al 68 mm;Hliník;101;Příjem zboží na objednávku;S;1340,280;KG;60,20;80684,86;CZK;;Colorlak a.s.;;SN2157;;;;DVORAKP;4010 Nákup
05.01.2026;05.01.2026;4900000925;1;1000;0001;1000265;Šroub M101x50;Spojovací materiál;101;Příjem zboží na objednávku;S;826,560;KS;0,76;628,19;CZK;;Fabory CZ;;SN8041;;;;NOVAKJ;4010 Nákup
05.01.2026;05.01.2026;4900000938;1;1000;0001;1000268;Tyč kruhová 82 mm;Ocel;101;Příjem zboží na objednávku;S;888,220;KG;20,79;18466,09;CZK;;ABB s.r.o.;;SN7221;;;;PROCHAZ;4010 Nákup
05.01.2026;05.01.2026;4900000944;1;1000;0001;1000270;Granulát PA6 87;Plasty;101;Příjem zboží na objednávku;S;581,400;KG;90,82;52802,75;CZK;;PPG Deco Czech;;SN9252;;;;KUCERAL;4010 Nákup
05.01.2026;05.01.2026;4900000945;1;1000;0001;1000270;Granulát PA6 87;Plasty;101;Příjem zboží na objednávku;S;266,410;KG;90,82;24195,36;CZK;;Schneider Electric CZ;;SN1856;;;;VESELAM;4010 Nákup
05.01.2026;05.01.2026;4900000947;1;1000;0001;1000270;Granulát PA6 87;Plasty;101;Příjem zboží na objednávku;S;1970,320;KG;90,82;178944,46;CZK;;Plastika Nitra a.s.;;SN5389;;;;KUCERAL;4010 Nákup
05.01.2026;05.01.2026;4900000958;1;2000;0001;1000272;Šroub M28x22;Spojovací materiál;101;Příjem zboží na objednávku;S;722,880;KS;8,82;6375,80;CZK;;Resinex CZ s.r.o.;;SN6647;;;;SVOBODM;4010 Nákup
05.01.2026;05.01.2026;4900000960;1;1000;0001;1000273;Lak polyuretanový RAL 3020;Nátěry a chemie;101;Příjem zboží na objednávku;S;1744,230;L;292,88;510850,08;CZK;;Haberkorn s.r.o.;;SN2374;;;;PROCHAZ;4010 Nákup
05.01.2026;05.01.2026;4900000962;1;1000;0001;1000273;Lak polyuretanový RAL 3020;Nátěry a chemie;101;Příjem zboží na objednávku;S;1697,540;L;292,88;497175,52;CZK;;Resinex CZ s.r.o.;;SN8563;;;;CERNAT;4010 Nákup
05.01.2026;05.01.2026;4900000969;1;1000;0001;1000274;Těsnění ploché 75 mm;Těsnění a guma;101;Příjem zboží na objednávku;S;732,140;KS;26,80;19621,35;CZK;;Resinex CZ s.r.o.;;SN4880;;;;VESELAM;4010 Nákup
05.01.2026;05.01.2026;4900000978;1;1000;0001;1000276;Profil Al 96x51;Hliník;101;Příjem zboží na objednávku;S;511,160;KG;80,22;41005,26;CZK;;Metalšrot Tlumačov;;SN1675;;;;CERNAT;4010 Nákup
05.01.2026;05.01.2026;4900000982;1;1000;0001;1000277;Granulát ABS 15;Plasty;101;Příjem zboží na objednávku;S;547,060;KG;36,41;19918,45;CZK;;Elektro Cabel CZ;;SN2447;;;;NOVAKJ;4010 Nákup
05.01.2026;05.01.2026;4900000997;1;2000;0001;1000280;Lak polyuretanový RAL 5010;Nátěry a chemie;101;Příjem zboží na objednávku;S;651,560;L;269,15;175367,37;CZK;;Alumat s.r.o.;;SN2310;;;;KUCERAL;4010 Nákup
05.01.2026;05.01.2026;4900001003;1;2000;0001;1000281;Manžeta 90x49;Těsnění a guma;101;Příjem zboží na objednávku;S;165,020;KS;32,59;5378,00;CZK;;Plastika Nitra a.s.;;SN4897;;;;PROCHAZ;4010 Nákup
05.01.2026;05.01.2026;4900001019;1;1000;0001;1000284;Granulát PA6 17;Plasty;101;Příjem zboží na objednávku;S;279,050;KG;68,56;19131,67;CZK;;Hilti ČR s.r.o.;;SN6836;;;;CERNAT;4010 Nákup
05.01.2026;05.01.2026;4900001022;1;1000;0001;1000284;Granulát PA6 17;Plasty;101;Příjem zboží na objednávku;S;748,430;KG;68,56;51312,36;CZK;;Hennlich s.r.o.;;SN3303;;;;KUCERAL;4010 Nákup
05.01.2026;05.01.2026;4900001056;1;2000;0001;1000291;Deska PP 108 mm;Plasty;101;Příjem zboží na objednávku;S;2094,970;KG;68,24;142960,75;CZK;;Siemens s.r.o.;;SN6260;;;;HORAKT;4010 Nákup
05.01.2026;05.01.2026;4900001090;1;2000;0001;1000296;Plech ocelový 110 mm;Ocel;101;Příjem zboží na objednávku;S;879,760;KG;44,46;39114,13;CZK;;Fabory CZ;;SN5849;;;;DVORAKP;4010 Nákup
05.01.2026;05.01.2026;4900001099;1;1000;0001;1000297;Trubka Al 64 mm;Hliník;101;Příjem zboží na objednávku;S;1448,350;KG;101,55;147079,94;CZK;;Alumat s.r.o.;;SN4876;;;;DVORAKP;4010 Nákup
05.01.2026;05.01.2026;4900001101;1;1000;0001;1000297;Trubka Al 64 mm;Hliník;101;Příjem zboží na objednávku;S;205,440;KG;101,55;20862,43;CZK;;Bibus s.r.o.;;SN2892;;;;DVORAKP;4010 Nákup
05.01.2026;05.01.2026;4900001130;1;2000;0001;1000303;Tyč kruhová 68 mm;Ocel;101;Příjem zboží na objednávku;S;1928,580;KG;35,56;68580,30;CZK;;ArcelorMittal Distribution;;SN2410;;;;CERNAT;4010 Nákup
05.01.2026;05.01.2026;4900001139;1;2000;0001;1000304;Plech Al 29 mm;Hliník;101;Příjem zboží na objednávku;S;2172,200;KG;84,08;182638,58;CZK;;Fabory CZ;;SN6602;;;;VESELAM;4010 Nákup
05.01.2026;05.01.2026;4900001177;1;1000;0001;1000311;Profil Al 93x76;Hliník;101;Příjem zboží na objednávku;S;270,880;KG;92,87;25156,63;CZK;;Elektro Cabel CZ;;SN6175;;;;NOVAKJ;4010 Nákup
05.01.2026;05.01.2026;4900001189;1;1000;0001;1000313;Kabel CYKY 66x55;Elektro;101;Příjem zboží na objednávku;S;681,370;KS;566,73;386152,82;CZK;;Trelleborg Bohemia;;SN7459;;;;NOVAKJ;4010 Nákup
05.01.2026;05.01.2026;4900001196;1;1000;0001;1000315;Ředidlo S67;Nátěry a chemie;101;Příjem zboží na objednávku;S;1358,570;L;248,62;337767,67;CZK;;Hilti ČR s.r.o.;;SN6002;;;;PROCHAZ;4010 Nákup
05.01.2026;05.01.2026;4900001197;1;1000;0001;1000315;Ředidlo S67;Nátěry a chemie;101;Příjem zboží na objednávku;S;397,150;L;248,62;98739,43;CZK;;ABB s.r.o.;;SN5377;;;;VESELAM;4010 Nákup
05.01.2026;05.01.2026;4900001210;1;1000;0001;1000316;Tlumič gumový 7;Těsnění a guma;101;Příjem zboží na objednávku;S;744,940;KS;67,08;49970,58;CZK;;Fabory CZ;;SN9115;;;;VESELAM;4010 Nákup
05.01.2026;05.01.2026;4900001217;1;2000;0001;1000318;Plech Al 86 mm;Hliník;101;Příjem zboží na objednávku;S;726,890;KG;63,81;46382,85;CZK;;Schneider Electric CZ;;SN6179;;;;DVORAKP;4010 Nákup
05.01.2026;05.01.2026;4900001221;1;2000;0001;1000318;Plech Al 86 mm;Hliník;101;Příjem zboží na objednávku;S;1391,590;KG;63,81;88797,36;CZK;;Wurth s.r.o.;;SN2612;;;;KUCERAL;4010 Nákup
05.01.2026;05.01.2026;4900001225;1;1000;0001;1000319;Granulát PA6 44;Plasty;101;Příjem zboží na objednávku;S;2020,540;KG;71,64;144751,49;CZK;;Killich s.r.o.;;SN7693;;;;KUCERAL;4010 Nákup
05.01.2026;05.01.2026;4900001246;1;1000;0001;1000323;O-kroužek 81 mm;Těsnění a guma;101;Příjem zboží na objednávku;S;118,690;KS;15,08;1789,85;CZK;;Rubena a.s.;;SN8840;;;;SVOBODM;4010 Nákup
05.01.2026;05.01.2026;4900001249;1;1000;0001;1000324;Profil U 62;Ocel;101;Příjem zboží na objednávku;S;552,800;KG;40,88;22598,46;CZK;;PPG Deco Czech;;SN8284;;;;KUCERAL;4010 Nákup
05.01.2026;05.01.2026;4900001250;1;1000;0001;1000324;Profil U 62;Ocel;101;Příjem zboží na objednávku;S;1755,720;KG;40,88;71773,83;CZK;;Siemens s.r.o.;;SN3923;;;;VESELAM;4010 Nákup
05.01.2026;05.01.2026;4900001257;1;1000;0001;1000326;Deska PE 12 mm;Plasty;101;Příjem zboží na objednávku;S;1533,030;KG;79,39;121707,25;CZK;;Elektro Cabel CZ;;SN8488;;;;PROCHAZ;4010 Nákup
05.01.2026;05.01.2026;4900001279;1;2000;0001;1000329;Lak polyuretanový RAL 3020;Nátěry a chemie;101;Příjem zboží na objednávku;S;1719,730;L;156,30;268793,80;CZK;;Rubena a.s.;;SN9388;;;;PROCHAZ;4010 Nákup
05.01.2026;05.01.2026;4900001285;1;2000;0001;1000330;O-kroužek 39 mm;Těsnění a guma;101;Příjem zboží na objednávku;S;515,350;KS;18,43;9497,90;CZK;;Wurth s.r.o.;;SN2432;;;;DVORAKP;4010 Nákup
05.01.2026;05.01.2026;4900001289;1;2000;0001;1000331;Tyč kruhová 92 mm;Ocel;101;Příjem zboží na objednávku;S;740,620;KG;40,62;30083,98;CZK;;Lapp Kabel s.r.o.;;SN8892;;;;NOVAKJ;4010 Nákup
05.01.2026;05.01.2026;4900001305;1;2000;0001;1000334;Stykač 101 A;Elektro;101;Příjem zboží na objednávku;S;228,420;KS;740,62;169172,42;CZK;;Haberkorn s.r.o.;;SN9913;;;;PROCHAZ;4010 Nákup
05.01.2026;05.01.2026;4900001321;1;1000;0001;1000338;Jekl 47x47x4;Ocel;101;Příjem zboží na objednávku;S;927,470;KG;41,33;38332,34;CZK;;Siemens s.r.o.;;SN4260;;;;KUCERAL;4010 Nákup
05.01.2026;05.01.2026;4900001326;1;1000;0001;1000339;Profil Al 7x33;Hliník;101;Příjem zboží na objednávku;S;1190,980;KG;91,34;108784,11;CZK;;Siemens s.r.o.;;SN2428;;;;PROCHAZ;4010 Nákup
05.01.2026;05.01.2026;4900001348;1;2000;0001;1000343;Odmašťovač RAL 5010;Nátěry a chemie;101;Příjem zboží na objednávku;S;814,660;L;156,59;127567,61;CZK;;Plastika Nitra a.s.;;SN5256;;;;NOVAKJ;4010 Nákup
05.01.2026;05.01.2026;4900001349;1;2000;0001;1000343;Odmašťovač RAL 5010;Nátěry a chemie;101;Příjem zboží na objednávku;S;1206,930;L;156,59;188993,17;CZK;;Ferona a.s.;;SN8745;;;;KUCERAL;4010 Nákup
05.01.2026;05.01.2026;4900001366;1;2000;0001;1000345;Tyč kruhová 110 mm;Ocel;101;Příjem zboží na objednávku;S;1070,900;KG;36,23;38798,71;CZK;;Plastika Nitra a.s.;;SN4406;;;;PROCHAZ;4010 Nákup
05.01.2026;05.01.2026;4900001370;1;1000;0001;1000346;Trubka Al 104 mm;Hliník;101;Příjem zboží na objednávku;S;1723,370;KG;119,78;206425,26;CZK;;Hilti ČR s.r.o.;;SN8361;;;;PROCHAZ;4010 Nákup
05.01.2026;05.01.2026;4900001377;1;2000;0001;1000348;Motor 108 kW;Elektro;101;Příjem zboží na objednávku;S;273,970;KS;739,67;202647,39;CZK;;Elektro Cabel CZ;;SN7463;;;;PROCHAZ;4010 Nákup
05.01.2026;05.01.2026;4900001389;1;2000;0001;1000350;Lak polyuretanový RAL 3020;Nátěry a chemie;101;Příjem zboží na objednávku;S;2165,270;L;261,99;567279,09;CZK;;Elektro Cabel CZ;;SN4358;;;;CERNAT;4010 Nákup
05.01.2026;05.01.2026;4900001401;1;1000;0001;1000353;Trubka Al 94 mm;Hliník;101;Příjem zboží na objednávku;S;1381,940;KG;92,49;127815,63;CZK;;Ferona a.s.;;SN2539;;;;DVORAKP;4010 Nákup
05.01.2026;05.01.2026;4900001418;1;2000;0001;1000356;Podložka 42;Spojovací materiál;101;Příjem zboží na objednávku;S;920,100;KS;4,27;3928,83;CZK;;Haberkorn s.r.o.;;SN5501;;;;KUCERAL;4010 Nákup
05.01.2026;05.01.2026;4900001421;1;2000;0001;1000357;Ředidlo S101;Nátěry a chemie;101;Příjem zboží na objednávku;S;1685,790;L;181,43;305852,88;CZK;;Fabory CZ;;SN9103;;;;CERNAT;4010 Nákup
05.01.2026;05.01.2026;4900001437;1;1000;0001;1000360;Profil Al 39x48;Hliník;101;Příjem zboží na objednávku;S;184,430;KG;81,97;15117,73;CZK;;Fabory CZ;;SN5371;;;;CERNAT;4010 Nákup
05.01.2026;05.01.2026;4900001438;1;1000;0001;1000360;Profil Al 39x48;Hliník;101;Příjem zboží na objednávku;S;1270,620;KG;81,97;104152,72;CZK;;Rubena a.s.;;SN5183;;;;CERNAT;4010 Nákup
05.01.2026;05.01.2026;4900001439;1;1000;0001;1000360;Profil Al 39x48;Hliník;101;Příjem zboží na objednávku;S;870,380;KG;81,97;71345,05;CZK;;Lapp Kabel s.r.o.;;SN5206;;;;PROCHAZ;4010 Nákup
